Architecture    Offer                                      Publisher    Sku                                  Urn                                                                                                   Version
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202406051                         22.04.202406051
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202406070                         22.04.202406070
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202406140                         22.04.202406140
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202406190                         22.04.202406190
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202406250                         22.04.202406250
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202406260                         22.04.202406260
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202406290                         22.04.202406290
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202407010                         22.04.202407010
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202407200                         22.04.202407200
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202407250                         22.04.202407250
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202408010                         22.04.202408010
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202408300                         22.04.202408300
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202409040                         22.04.202409040
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202409270                         22.04.202409270
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202501080                         22.04.202501080
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202504250                         22.04.202504250
